Subject,StartTime,EndTime,Condition,Code,Duration
449,2019-02-20 04:54:05pm,2019-02-20 04:55:25pm,climate,43956134,1.333333333
902,2022-01-22 04:57:12pm,2022-01-22 05:03:54pm,climate,05053893,6.7
903,2022-02-01 05:09:06pm,2022-02-01 05:11:14pm,climate,28627308,2.1333333333333
904,2022-02-04 05:43:38am,2022-02-04 05:46:47am,climate,59895802,3.15
905,2022-02-04 05:44:07am,2022-02-04 05:49:08am,climate,32388762,5.0166666666667
906,2022-02-04 05:44:12am,2022-02-04 05:49:34am,climate,82655123,5.3666666666667
909,2022-02-04 05:44:14am,2022-02-04 05:49:59am,climate,16903096,5.75
908,2022-02-04 05:44:11am,2022-02-04 05:50:42am,climate,62613968,6.5166666666667
955,2022-02-04 05:45:56am,2022-02-04 05:50:47am,climate,80093665,4.85
925,2022-02-04 05:44:44am,2022-02-04 05:51:02am,climate,90646618,6.3
953,2022-02-04 05:45:36am,2022-02-04 05:51:54am,climate,22933851,6.3
937,2022-02-04 05:44:36am,2022-02-04 05:53:05am,climate,77927628,8.4833333333333
947,2022-02-04 05:46:08am,2022-02-04 05:53:09am,climate,42539155,7.0166666666667
983,2022-02-04 05:47:38am,2022-02-04 05:54:26am,climate,18211809,6.8
961,2022-02-04 05:46:30am,2022-02-04 05:55:17am,climate,77148717,8.7833333333333
940,2022-02-04 05:45:34am,2022-02-04 05:55:25am,climate,79375262,9.85
934,2022-02-04 05:45:17am,2022-02-04 05:55:29am,climate,81867301,10.2
981,2022-02-04 05:47:12am,2022-02-04 05:55:31am,climate,06371388,8.3166666666667
962,2022-02-04 05:45:59am,2022-02-04 05:55:46am,climate,51498297,9.7833333333333
993,2022-02-04 05:48:18am,2022-02-04 05:56:31am,climate,02579437,8.2166666666667
1037,2022-02-04 05:51:34am,2022-02-04 05:56:32am,climate,63333823,4.9666666666667
1036,2022-02-04 05:51:40am,2022-02-04 05:56:45am,climate,03847043,5.0833333333333
936,2022-02-04 05:43:39am,2022-02-04 05:56:55am,climate,87215767,13.266666666667
952,2022-02-04 05:46:16am,2022-02-04 05:57:08am,climate,32041473,10.866666666667
912,2022-02-04 05:44:11am,2022-02-04 05:57:11am,climate,26722446,13
1016,2022-02-04 05:50:24am,2022-02-04 05:57:14am,climate,24013263,6.8333333333333
1007,2022-02-04 05:47:13am,2022-02-04 05:57:15am,climate,97110841,10.033333333333
932,2022-02-04 05:44:10am,2022-02-04 05:57:31am,climate,55999065,13.35
933,2022-02-04 05:45:03am,2022-02-04 05:57:48am,climate,12769135,12.75
931,2022-02-04 05:44:27am,2022-02-04 05:57:50am,climate,46718161,13.383333333333
948,2022-02-04 05:45:51am,2022-02-04 05:57:58am,climate,39220288,12.116666666667
1009,2022-02-04 05:46:39am,2022-02-04 05:58:06am,climate,65821998,11.45
918,2022-02-04 05:44:22am,2022-02-04 05:58:16am,climate,99423868,13.9
998,2022-02-04 05:48:32am,2022-02-04 05:58:21am,climate,10344055,9.8166666666667
1054,2022-02-04 05:53:15am,2022-02-04 05:58:25am,climate,90523085,5.1666666666667
944,2022-02-04 05:45:27am,2022-02-04 05:58:35am,climate,45435201,13.133333333333
1023,2022-02-04 05:50:08am,2022-02-04 05:58:41am,climate,28949825,8.55
1021,2022-02-04 05:50:14am,2022-02-04 05:58:48am,climate,13155772,8.5666666666667
1002,2022-02-04 05:48:23am,2022-02-04 05:58:52am,climate,87759528,10.483333333333
942,2022-02-04 05:45:37am,2022-02-04 05:58:53am,climate,93088406,13.266666666667
1049,2022-02-04 05:52:01am,2022-02-04 05:59:13am,climate,64807981,7.2
1047,2022-02-04 05:53:10am,2022-02-04 05:59:44am,climate,68757287,6.5666666666667
974,2022-02-04 05:47:08am,2022-02-04 05:59:58am,climate,08592862,12.833333333333
959,2022-02-04 05:46:12am,2022-02-04 06:00:04am,climate,67912548,13.866666666667
988,2022-02-04 05:47:11am,2022-02-04 06:00:35am,climate,09202789,13.4
964,2022-02-04 05:46:35am,2022-02-04 06:00:47am,climate,41991361,14.2
1000,2022-02-04 05:49:10am,2022-02-04 06:00:47am,climate,90548389,11.616666666667
1015,2022-02-04 05:49:52am,2022-02-04 06:01:05am,climate,37311992,11.216666666667
1005,2022-02-04 05:49:42am,2022-02-04 06:01:09am,climate,08386317,11.45
1084,2022-02-04 05:54:18am,2022-02-04 06:01:35am,climate,38989518,7.2833333333333
1053,2022-02-04 05:53:18am,2022-02-04 06:01:45am,climate,86495585,8.45
1065,2022-02-04 05:54:50am,2022-02-04 06:02:49am,climate,38224612,7.9833333333333
1089,2022-02-04 05:57:00am,2022-02-04 06:02:53am,climate,32154192,5.8833333333333
1057,2022-02-04 05:45:23am,2022-02-04 06:02:57am,climate,04841004,17.566666666667
960,2022-02-04 05:45:59am,2022-02-04 06:03:17am,climate,04887293,17.3
1110,2022-02-04 05:58:51am,2022-02-04 06:03:22am,climate,30445545,4.5166666666667
1014,2022-02-04 05:50:15am,2022-02-04 06:03:35am,climate,76877277,13.333333333333
1048,2022-02-04 05:53:23am,2022-02-04 06:03:38am,climate,20163518,10.25
1010,2022-02-04 05:49:11am,2022-02-04 06:03:40am,climate,10027902,14.483333333333
1070,2022-02-04 05:52:39am,2022-02-04 06:03:41am,climate,80476620,11.033333333333
1042,2022-02-04 05:52:32am,2022-02-04 06:03:44am,climate,64318854,11.2
1109,2022-02-04 05:58:43am,2022-02-04 06:03:58am,climate,17323158,5.25
1028,2022-02-04 05:50:36am,2022-02-04 06:04:25am,climate,12045910,13.816666666667
1061,2022-02-04 05:52:35am,2022-02-04 06:04:28am,climate,97044601,11.883333333333
1147,2022-02-04 05:53:05am,2022-02-04 06:04:45am,climate,90325868,11.666666666667
1056,2022-02-04 05:54:11am,2022-02-04 06:05:05am,climate,67516654,10.9
1127,2022-02-04 06:01:14am,2022-02-04 06:05:12am,climate,35265685,3.9666666666667
1092,2022-02-04 05:57:16am,2022-02-04 06:05:13am,climate,78190532,7.95
1069,2022-02-04 05:54:53am,2022-02-04 06:05:16am,climate,76031901,10.383333333333
973,2022-02-04 05:47:19am,2022-02-04 06:05:24am,climate,56064538,18.083333333333
1128,2022-02-04 06:01:04am,2022-02-04 06:05:38am,climate,66528615,4.5666666666667
1064,2022-02-04 05:54:59am,2022-02-04 06:05:49am,climate,91877439,10.833333333333
1096,2022-02-04 05:57:07am,2022-02-04 06:05:50am,climate,00541301,8.7166666666667
1094,2022-02-04 05:56:45am,2022-02-04 06:05:59am,climate,58370593,9.2333333333333
1030,2022-02-04 05:50:47am,2022-02-04 06:06:03am,climate,14107030,15.266666666667
1039,2022-02-04 05:51:47am,2022-02-04 06:06:41am,climate,15474738,14.9
1120,2022-02-04 06:00:41am,2022-02-04 06:06:43am,climate,81116644,6.0333333333333
1022,2022-02-04 05:49:36am,2022-02-04 06:06:52am,climate,26510079,17.266666666667
990,2022-02-04 05:46:58am,2022-02-04 06:06:53am,climate,19235976,19.916666666667
1032,2022-02-04 05:51:13am,2022-02-04 06:07:30am,climate,02951704,16.283333333333
1121,2022-02-04 06:00:39am,2022-02-04 06:08:04am,climate,30523209,7.4166666666667
1133,2022-02-04 06:02:00am,2022-02-04 06:08:10am,climate,47557968,6.1666666666667
1059,2022-02-04 05:53:35am,2022-02-04 06:08:26am,climate,90434797,14.85
1138,2022-02-04 06:01:57am,2022-02-04 06:09:29am,climate,02024522,7.5333333333333
1013,2022-02-04 05:49:10am,2022-02-04 06:09:56am,climate,59106377,20.766666666667
991,2022-02-04 05:47:46am,2022-02-04 06:10:08am,climate,59879790,22.366666666667
1142,2022-02-04 06:02:55am,2022-02-04 06:10:08am,climate,36581590,7.2166666666667
1144,2022-02-04 06:02:52am,2022-02-04 06:10:09am,climate,95648476,7.2833333333333
1043,2022-02-04 05:51:18am,2022-02-04 06:10:09am,climate,83134373,18.85
1068,2022-02-04 05:54:58am,2022-02-04 06:10:15am,climate,82587274,15.283333333333
1137,2022-02-04 06:01:57am,2022-02-04 06:10:25am,climate,81731972,8.4666666666667
1107,2022-02-04 05:58:34am,2022-02-04 06:11:11am,climate,70348846,12.616666666667
989,2022-02-04 05:48:19am,2022-02-04 06:12:33am,climate,79547626,24.233333333333
1019,2022-02-04 05:48:30am,2022-02-04 06:12:35am,climate,17440048,24.083333333333
946,2022-02-04 05:44:21am,2022-02-04 06:12:52am,climate,85117932,28.516666666667
1055,2022-02-04 05:52:54am,2022-02-04 06:13:05am,climate,02346970,20.183333333333
995,2022-02-04 05:48:49am,2022-02-04 06:13:36am,climate,10065580,24.783333333333
