Subject,StartTime,EndTime,Condition,Code,Duration
,,,,,
,,,,,
449,2019-02-20 04:54:05pm,2019-02-20 04:55:25pm,climate,43956134,1.333333333
1997,"2021-10-08 10:45:35am","2021-10-08 10:57:47am",neutral,35169445,12.2
2002,"2022-01-22 04:50:52pm","2022-01-22 04:55:22pm",neutral,49549637,4.5
902,"2022-01-22 04:57:12pm","2022-01-22 05:03:54pm",climate,05053893,6.7
,,"2022-01-22 05:05:38pm",,,27381665.633333
2003,"2022-01-22 05:06:01pm","2022-01-22 05:10:28pm",neutral,43295359,4.45
2004,"2022-01-22 05:15:08pm","2022-01-22 05:16:51pm",neutral,00292859,1.7166666666667
903,"2022-02-01 05:09:06pm","2022-02-01 05:11:14pm",climate,28627308,2.1333333333333
,,"2022-02-01 07:22:34pm",,,27396202.566667
2005,"2022-02-01 07:22:38pm","2022-02-01 07:24:25pm",neutral,05961166,1.7833333333333
904,"2022-02-04 05:43:38am","2022-02-04 05:46:47am",climate,59895802,3.15
905,"2022-02-04 05:44:07am","2022-02-04 05:49:08am",climate,32388762,5.0166666666667
906,"2022-02-04 05:44:12am","2022-02-04 05:49:34am",climate,82655123,5.3666666666667
909,"2022-02-04 05:44:14am","2022-02-04 05:49:59am",climate,16903096,5.75
908,"2022-02-04 05:44:11am","2022-02-04 05:50:42am",climate,62613968,6.5166666666667
955,"2022-02-04 05:45:56am","2022-02-04 05:50:47am",climate,80093665,4.85
925,"2022-02-04 05:44:44am","2022-02-04 05:51:02am",climate,90646618,6.3
953,"2022-02-04 05:45:36am","2022-02-04 05:51:54am",climate,22933851,6.3
2024,"2022-02-04 05:44:03am","2022-02-04 05:52:04am",neutral,92756983,8.0166666666667
2037,"2022-02-04 05:46:00am","2022-02-04 05:52:42am",neutral,58602239,6.7
2061,"2022-02-04 05:47:06am","2022-02-04 05:52:45am",neutral,37770980,5.65
937,"2022-02-04 05:44:36am","2022-02-04 05:53:05am",climate,77927628,8.4833333333333
947,"2022-02-04 05:46:08am","2022-02-04 05:53:09am",climate,42539155,7.0166666666667
2072,"2022-02-04 05:47:20am","2022-02-04 05:53:10am",neutral,57046920,5.8333333333333
2079,"2022-02-04 05:47:48am","2022-02-04 05:53:16am",neutral,28131625,5.4666666666667
2029,"2022-02-04 05:45:27am","2022-02-04 05:53:43am",neutral,69549393,8.2666666666667
2048,"2022-02-04 05:46:24am","2022-02-04 05:53:56am",neutral,93702690,7.5333333333333
2086,"2022-02-04 05:48:43am","2022-02-04 05:54:06am",neutral,01393095,5.3833333333333
2103,"2022-02-04 05:50:09am","2022-02-04 05:54:06am",neutral,17655779,3.95
983,"2022-02-04 05:47:38am","2022-02-04 05:54:26am",climate,18211809,6.8
2006,"2022-02-04 05:43:58am","2022-02-04 05:54:29am",neutral,34666729,10.516666666667
2010,"2022-02-04 05:44:09am","2022-02-04 05:54:40am",neutral,78589030,10.516666666667
2098,"2022-02-04 05:49:34am","2022-02-04 05:54:42am",neutral,47595244,5.1333333333333
2009,"2022-02-04 05:44:01am","2022-02-04 05:54:54am",neutral,24985994,10.883333333333
2030,"2022-02-04 05:45:10am","2022-02-04 05:55:15am",neutral,82588880,10.083333333333
