Subject,StartTime,EndTime,Condition,Code,Duration
1997,2021-10-08 10:45:35am,2021-10-08 10:57:47am,neutral,35169445,12.2
2002,2022-01-22 04:50:52pm,2022-01-22 04:55:22pm,neutral,49549637,4.5
2003,2022-01-22 05:06:01pm,2022-01-22 05:10:28pm,neutral,43295359,4.45
2004,2022-01-22 05:15:08pm,2022-01-22 05:16:51pm,neutral,00292859,1.7166666666667
2005,2022-02-01 07:22:38pm,2022-02-01 07:24:25pm,neutral,05961166,1.7833333333333
2024,2022-02-04 05:44:03am,2022-02-04 05:52:04am,neutral,92756983,8.0166666666667
2037,2022-02-04 05:46:00am,2022-02-04 05:52:42am,neutral,58602239,6.7
2061,2022-02-04 05:47:06am,2022-02-04 05:52:45am,neutral,37770980,5.65
2072,2022-02-04 05:47:20am,2022-02-04 05:53:10am,neutral,57046920,5.8333333333333
2079,2022-02-04 05:47:48am,2022-02-04 05:53:16am,neutral,28131625,5.4666666666667
2029,2022-02-04 05:45:27am,2022-02-04 05:53:43am,neutral,69549393,8.2666666666667
2048,2022-02-04 05:46:24am,2022-02-04 05:53:56am,neutral,93702690,7.5333333333333
2086,2022-02-04 05:48:43am,2022-02-04 05:54:06am,neutral,01393095,5.3833333333333
2103,2022-02-04 05:50:09am,2022-02-04 05:54:06am,neutral,17655779,3.95
2006,2022-02-04 05:43:58am,2022-02-04 05:54:29am,neutral,34666729,10.516666666667
2010,2022-02-04 05:44:09am,2022-02-04 05:54:40am,neutral,78589030,10.516666666667
2098,2022-02-04 05:49:34am,2022-02-04 05:54:42am,neutral,47595244,5.1333333333333
2009,2022-02-04 05:44:01am,2022-02-04 05:54:54am,neutral,24985994,10.883333333333
2030,2022-02-04 05:45:10am,2022-02-04 05:55:15am,neutral,82588880,10.083333333333
2090,2022-02-04 05:49:11am,2022-02-04 05:55:20am,neutral,82171858,6.15
2046,2022-02-04 05:46:23am,2022-02-04 05:55:38am,neutral,29419388,9.25
2052,2022-02-04 05:46:58am,2022-02-04 05:55:54am,neutral,06327146,8.9333333333333
2081,2022-02-04 05:48:30am,2022-02-04 05:55:55am,neutral,16447420,7.4166666666667
2011,2022-02-04 05:44:13am,2022-02-04 05:56:15am,neutral,67246622,12.033333333333
2053,2022-02-04 05:46:01am,2022-02-04 05:56:34am,neutral,47510659,10.55
2019,2022-02-04 05:44:24am,2022-02-04 05:56:34am,neutral,85504536,12.166666666667
2107,2022-02-04 05:50:39am,2022-02-04 05:56:37am,neutral,29539475,5.9666666666667
2114,2022-02-04 05:51:37am,2022-02-04 05:56:40am,neutral,43805444,5.05
2108,2022-02-04 05:50:11am,2022-02-04 05:57:01am,neutral,45154391,6.8333333333333
2060,2022-02-04 05:46:31am,2022-02-04 05:57:07am,neutral,97036841,10.6
2096,2022-02-04 05:49:35am,2022-02-04 05:57:13am,neutral,47926095,7.6333333333333
2015,2022-02-04 05:44:47am,2022-02-04 05:57:22am,neutral,85323005,12.583333333333
